det,time
1.29186e-06,0.015708
1.03334e-05,0.0314159
3.48664e-05,0.0471239
8.26177e-05,0.0628319
0.000161292,0.0785398
0.000278563,0.0942478
0.000442083,0.109956
0.000659442,0.125664
0.0009382,0.141372
0.00128587,0.15708
0.0017099,0.172788
0.00221769,0.188496
0.0028166,0.204204
0.00351391,0.219911
0.00431685,0.235619
0.00523258,0.251327
0.00626824,0.267035
0.00743086,0.282743
0.00872745,0.298451
0.010165,0.314159
0.0117502,0.329867
0.0134902,0.345575
0.0153915,0.361283
0.0174609,0.376991
0.0197051,0.392699
0.0221308,0.408407
0.0247444,0.424115
0.0275526,0.439823
0.0305617,0.455531
0.0337783,0.471239
0.0372087,0.486947
0.0408594,0.502655
0.0447365,0.518363
0.0488464,0.534071
0.0531952,0.549779
0.0577893,0.565487
0.0626347,0.581195
0.0677377,0.596903
0.0731041,0.612611
0.0787402,0.628319
0.0846519,0.644026
0.0908453,0.659734
0.0973263,0.675442
0.104101,0.69115
0.111175,0.706858
0.118554,0.722566
0.126244,0.738274
0.134251,0.753982
0.142581,0.76969
0.15124,0.785398
0.160232,0.801106
0.169565,0.816814
0.179243,0.832522
0.189273,0.84823
0.199659,0.863938
0.210408,0.879646
0.221525,0.895354
0.233016,0.911062
0.244886,0.92677
0.257141,0.942478
0.269786,0.958186
0.282826,0.973894
0.296268,0.989602
0.310117,1.00531
0.324378,1.02102
0.339056,1.03673
0.354157,1.05243
0.369687,1.06814
0.38565,1.08385
0.402052,1.09956
0.418899,1.11527
0.436195,1.13097
0.453945,1.14668
0.472156,1.16239
0.490833,1.1781
0.50998,1.19381
0.529603,1.20951
0.549707,1.22522
0.570297,1.24093
0.591379,1.25664
0.612957,1.27235
0.635037,1.28805
0.657624,1.30376
0.680723,1.31947
0.704339,1.33518
0.728477,1.35088
0.753142,1.36659
0.77834,1.3823
0.804075,1.39801
0.830353,1.41372
0.857178,1.42942
0.884555,1.44513
0.91249,1.46084
0.940988,1.47655
0.970053,1.49226
0.99969,1.50796
1.0299,1.52367
1.0607,1.53938
1.09209,1.55509
1.12406,1.5708
