p1,p2,x1,x2,time
2.06307,0,0,0.951506,0
2.063,-0.0171042,0.00788839,0.951403,0.00829072
2.06279,-0.0342072,0.0157751,0.951092,0.0165814
2.06243,-0.0513078,0.0236583,0.950574,0.0248722
2.06194,-0.0684049,0.0315364,0.949849,0.0331629
2.0613,-0.0854973,0.0394076,0.948917,0.0414536
2.06052,-0.102584,0.0472702,0.947779,0.0497443
2.05961,-0.119663,0.0551226,0.946435,0.0580351
2.05855,-0.136735,0.0629629,0.944884,0.0663258
2.05735,-0.153797,0.0707896,0.943128,0.0746165
2.05601,-0.170848,0.0786008,0.941167,0.0829072
2.05454,-0.187888,0.0863949,0.939001,0.091198
2.05292,-0.204915,0.0941702,0.936631,0.0994887
2.05117,-0.221928,0.101925,0.934058,0.107779
2.04929,-0.238926,0.109658,0.931281,0.11607
2.04726,-0.255908,0.117366,0.928303,0.124361
2.04511,-0.272872,0.12505,0.925122,0.132652
2.04282,-0.289818,0.132706,0.921741,0.140942
2.0404,-0.306745,0.140333,0.91816,0.149233
2.03785,-0.323651,0.14793,0.91438,0.157524
2.03516,-0.340535,0.155494,0.910402,0.165814
2.03235,-0.357396,0.163025,0.906226,0.174105
2.02942,-0.374234,0.17052,0.901854,0.182396
2.02635,-0.391047,0.177978,0.897286,0.190687
2.02317,-0.407833,0.185398,0.892524,0.198977
2.01985,-0.424593,0.192777,0.887569,0.207268
2.01642,-0.441325,0.200115,0.882422,0.215559
2.01287,-0.458028,0.207409,0.877084,0.22385
2.0092,-0.474701,0.214657,0.871556,0.23214
2.00541,-0.491343,0.22186,0.865839,0.240431
2.0015,-0.507953,0.229014,0.859935,0.248722
1.99748,-0.524531,0.236118,0.853845,0.257012
1.99335,-0.541074,0.243171,0.84757,0.265303
1.98911,-0.557583,0.250172,0.841111,0.273594
1.98477,-0.574056,0.257118,0.834471,0.281885
1.98031,-0.590493,0.264008,0.827649,0.290175
1.97575,-0.606892,0.270841,0.820649,0.298466
1.97109,-0.623254,0.277615,0.81347,0.306757
1.96632,-0.639576,0.284329,0.806115,0.315048
1.96146,-0.655858,0.290981,0.798584,0.323338
1.95649,-0.672099,0.29757,0.79088,0.331629
1.95144,-0.688299,0.304094,0.783004,0.33992
1.94629,-0.704457,0.310553,0.774957,0.34821
1.94104,-0.720571,0.316944,0.766741,0.356501
1.93571,-0.736642,0.323266,0.758357,0.364792
1.93029,-0.752668,0.329518,0.749807,0.373083
1.92478,-0.768648,0.335698,0.741093,0.381373
1.91919,-0.784583,0.341806,0.732215,0.389664
1.91352,-0.800471,0.347839,0.723176,0.397955
1.90776,-0.816312,0.353797,0.713977,0.406245
1.90193,-0.832104,0.359677,0.70462,0.414536
1.89602,-0.847848,0.36548,0.695106,0.422827
1.89004,-0.863543,0.371203,0.685436,0.431118
1.88399,-0.879188,0.376845,0.675613,0.439408
1.87786,-0.894782,0.382405,0.665638,0.447699
1.87167,-0.910325,0.387882,0.655512,0.45599
1.86541,-0.925817,0.393274,0.645238,0.464281
1.85909,-0.941256,0.39858,0.634816,0.472571
1.8527,-0.956643,0.4038,0.624248,0.480862
1.84625,-0.971976,0.408931,0.613536,0.489153
1.83975,-0.987256,0.413973,0.602681,0.497443
1.83318,-1.00248,0.418924,0.591685,0.505734
1.82656,-1.01765,0.423783,0.58055,0.514025
1.81989,-1.03277,0.42855,0.569277,0.522316
1.81317,-1.04783,0.433222,0.557867,0.530606
1.80639,-1.06283,0.4378,0.546322,0.538897
1.79957,-1.07778,0.442281,0.534643,0.547188
1.7927,-1.09267,0.446665,0.522833,0.555479
1.78579,-1.10751,0.45095,0.510893,0.563769
1.77884,-1.12228,0.455136,0.498823,0.57206
1.77184,-1.137,0.459221,0.486626,0.580351
1.7648,-1.15166,0.463204,0.474303,0.588641
1.75773,-1.16627,0.467085,0.461855,0.596932
1.75062,-1.18081,0.470862,0.449284,0.605223
1.74348,-1.19529,0.474534,0.436592,0.613514
1.7363,-1.20972,0.478101,0.42378,0.621804
1.72909,-1.22408,0.481561,0.410848,0.630095
1.72185,-1.23839,0.484913,0.3978,0.638386
1.71459,-1.25263,0.488157,0.384635,0.646676
1.70729,-1.26682,0.491291,0.371355,0.654967
1.69998,-1.28094,0.494314,0.357963,0.663258
1.69263,-1.29501,0.497226,0.344458,0.671549
1.68527,-1.30901,0.500025,0.330843,0.679839
1.67788,-1.32295,0.502711,0.317119,0.68813
1.67048,-1.33683,0.505283,0.303286,0.696421
1.66305,-1.35065,0.50774,0.289347,0.704712
1.65561,-1.36441,0.510081,0.275303,0.713002
1.64816,-1.3781,0.512305,0.261154,0.721293
1.64068,-1.39174,0.514411,0.246902,0.729584
1.6332,-1.40531,0.516398,0.232549,0.737874
1.6257,-1.41882,0.518267,0.218095,0.746165
1.61819,-1.43226,0.520014,0.203543,0.754456
1.61068,-1.44565,0.521641,0.188892,0.762747
1.60315,-1.45897,0.523146,0.174144,0.771037
1.59562,-1.47223,0.524529,0.1593,0.779328
1.58808,-1.48543,0.525787,0.144362,0.787619
1.58053,-1.49856,0.526922,0.12933,0.79591
1.57298,-1.51164,0.527932,0.114206,0.8042
1.56543,-1.52465,0.528816,0.098991,0.812491
1.55788,-1.53759,0.529573,0.0836856,0.820782
1.55032,-1.55048,0.530203,0.0682911,0.829072
1.54276,-1.5633,0.530705,0.0528087,0.837363
1.53521,-1.57606,0.531078,0.0372392,0.845654
1.52765,-1.58876,0.531322,0.0215838,0.853945
1.5201,-1.60139,0.531436,0.00584342,0.862235
1.51255,-1.61396,0.531419,-0.00998086,0.870526
1.50501,-1.62647,0.53127,-0.0258881,0.878817
1.49747,-1.63892,0.530989,-0.0418773,0.887107
1.48993,-1.6513,0.530576,-0.0579475,0.895398
1.4824,-1.66362,0.530028,-0.0740978,0.903689
1.47488,-1.67588,0.529347,-0.0903271,0.91198
1.46737,-1.68808,0.52853,-0.106635,0.92027
1.45986,-1.70021,0.527578,-0.12302,0.928561
1.45237,-1.71228,0.52649,-0.139481,0.936852
1.44488,-1.72429,0.525265,-0.156018,0.945143
1.43741,-1.73624,0.523903,-0.172629,0.953433
1.42995,-1.74813,0.522403,-0.189314,0.961724
1.42249,-1.75995,0.520764,-0.206073,0.970015
1.41505,-1.77172,0.518986,-0.222903,0.978305
1.40763,-1.78342,0.517068,-0.239805,0.986596
1.40022,-1.79506,0.515009,-0.256777,0.994887
1.39282,-1.80663,0.51281,-0.273818,1.00318
1.38543,-1.81815,0.510469,-0.290929,1.01147
1.37807,-1.82961,0.507985,-0.308108,1.01976
1.37071,-1.841,0.50536,-0.325354,1.02805
1.36338,-1.85234,0.50259,-0.342666,1.03634
1.35605,-1.86361,0.499677,-0.360045,1.04463
1.34875,-1.87482,0.49662,-0.377488,1.05292
1.34147,-1.88597,0.493418,-0.394996,1.06121
1.3342,-1.89706,0.49007,-0.412568,1.0695
1.32695,-1.9081,0.486577,-0.430203,1.07779
1.31972,-1.91907,0.482937,-0.4479,1.08608
1.3125,-1.92998,0.47915,-0.465658,1.09438
1.30531,-1.94083,0.475215,-0.483477,1.10267
1.29814,-1.95162,0.471133,-0.501357,1.11096
1.29099,-1.96236,0.466902,-0.519296,1.11925
1.28385,-1.97303,0.462522,-0.537294,1.12754
1.27674,-1.98364,0.457993,-0.555351,1.13583
1.26965,-1.9942,0.453313,-0.573465,1.14412
1.26258,-2.0047,0.448484,-0.591636,1.15241
1.25553,-2.01514,0.443503,-0.609864,1.1607
1.24851,-2.02552,0.438371,-0.628147,1.16899
1.2415,-2.03584,0.433087,-0.646486,1.17728
1.23452,-2.0461,0.427651,-0.664879,1.18557
1.22756,-2.05631,0.422062,-0.683327,1.19386
