p1,p2,x1,x2,time
2.00229,0,0,0.999522,0
2.00219,-0.0195954,0.00978152,0.999378,0.00978667
2.00191,-0.039189,0.0195602,0.998947,0.0195733
2.00143,-0.0587788,0.0293333,0.998228,0.02936
2.00076,-0.078363,0.039098,0.997223,0.0391467
1.99989,-0.0979397,0.0488514,0.995929,0.0489334
1.99884,-0.117507,0.0585907,0.994349,0.05872
1.99759,-0.137063,0.0683132,0.992483,0.0685067
1.99616,-0.156606,0.078016,0.99033,0.0782934
1.99453,-0.176134,0.0876963,0.987891,0.08808
1.99271,-0.195645,0.0973514,0.985166,0.0978667
1.9907,-0.215137,0.106978,0.982156,0.107653
1.9885,-0.234609,0.116575,0.978861,0.11744
1.98611,-0.254058,0.126137,0.975283,0.127227
1.98353,-0.273483,0.135663,0.97142,0.137013
1.98076,-0.292882,0.14515,0.967275,0.1468
1.9778,-0.312252,0.154595,0.962847,0.156587
1.97465,-0.331593,0.163995,0.958138,0.166373
1.97131,-0.350902,0.173348,0.953148,0.17616
1.96778,-0.370178,0.182651,0.947878,0.185947
1.96406,-0.389418,0.1919,0.942329,0.195733
1.96016,-0.40862,0.201094,0.936502,0.20552
1.95607,-0.427784,0.21023,0.930397,0.215307
1.95179,-0.446907,0.219304,0.924016,0.225093
1.94733,-0.465986,0.228315,0.91736,0.23488
1.94268,-0.485022,0.237259,0.910429,0.244667
1.93784,-0.50401,0.246134,0.903225,0.254453
1.93282,-0.522951,0.254937,0.89575,0.26424
1.92761,-0.541841,0.263666,0.888003,0.274027
1.92222,-0.56068,0.272318,0.879987,0.283813
1.91664,-0.579465,0.28089,0.871703,0.2936
1.91089,-0.598195,0.289379,0.863153,0.303387
1.90495,-0.616867,0.297784,0.854336,0.313173
1.89883,-0.63548,0.3061,0.845256,0.32296
1.89252,-0.654033,0.314327,0.835913,0.332747
1.88604,-0.672523,0.322461,0.826309,0.342533
1.87937,-0.690948,0.3305,0.816446,0.35232
1.87253,-0.709308,0.338441,0.806325,0.362107
1.86551,-0.727599,0.346282,0.795947,0.371893
1.85831,-0.745821,0.354019,0.785315,0.38168
1.85093,-0.763972,0.361652,0.77443,0.391467
1.84338,-0.78205,0.369177,0.763294,0.401253
1.83565,-0.800053,0.376591,0.751909,0.41104
1.82775,-0.817979,0.383893,0.740277,0.420827
1.81967,-0.835827,0.39108,0.728398,0.430614
1.81142,-0.853595,0.39815,0.716277,0.4404
1.80299,-0.871282,0.405099,0.703913,0.450187
1.7944,-0.888885,0.411927,0.69131,0.459974
1.78563,-0.906404,0.41863,0.67847,0.46976
1.7767,-0.923836,0.425206,0.665394,0.479547
1.76759,-0.941179,0.431653,0.652084,0.489334
1.75832,-0.958433,0.437969,0.638544,0.49912
1.74888,-0.975595,0.444151,0.624774,0.508907
1.73927,-0.992664,0.450197,0.610778,0.518694
1.7295,-1.00964,0.456105,0.596557,0.52848
1.71956,-1.02652,0.461873,0.582114,0.538267
1.70947,-1.04329,0.467498,0.567451,0.548054
1.69921,-1.05997,0.472979,0.552571,0.55784
1.68878,-1.07655,0.478313,0.537476,0.567627
1.6782,-1.09303,0.483499,0.522168,0.577414
1.66746,-1.1094,0.488533,0.50665,0.5872
1.65656,-1.12567,0.493415,0.490925,0.596987
1.64551,-1.14182,0.498141,0.474994,0.606774
1.6343,-1.15787,0.502711,0.458862,0.61656
1.62293,-1.17381,0.507122,0.442529,0.626347
1.61141,-1.18964,0.511372,0.426,0.636134
1.59974,-1.20535,0.51546,0.409276,0.64592
1.58792,-1.22095,0.519383,0.392361,0.655707
1.57594,-1.23643,0.523139,0.375256,0.665494
1.56382,-1.2518,0.526727,0.357966,0.67528
1.55155,-1.26704,0.530145,0.340492,0.685067
1.53914,-1.28217,0.533391,0.322839,0.694854
1.52658,-1.29717,0.536464,0.305007,0.70464
1.51387,-1.31205,0.539361,0.287001,0.714427
1.50103,-1.3268,0.542081,0.268823,0.724214
1.48804,-1.34143,0.544622,0.250477,0.734
1.47491,-1.35592,0.546983,0.231965,0.743787
1.46165,-1.37029,0.549162,0.213291,0.753574
1.44824,-1.38453,0.551157,0.194457,0.76336
1.4347,-1.39864,0.552967,0.175467,0.773147
1.42103,-1.41261,0.554591,0.156323,0.782934
1.40722,-1.42645,0.556027,0.137029,0.79272
