p1,p2,x1,x2,time
0.937447,-0.491707,-0.0211312,-0.124569,0.505075
0.936681,-0.496908,-0.0218301,-0.127279,0.510625
0.935919,-0.502104,-0.0225441,-0.130018,0.516176
0.935161,-0.507297,-0.0232734,-0.132784,0.521726
0.934407,-0.512485,-0.0240181,-0.135579,0.527276
0.933657,-0.517669,-0.0247784,-0.138403,0.532827
0.932912,-0.522849,-0.0255545,-0.141254,0.538377
0.93217,-0.528025,-0.0263465,-0.144134,0.543927
0.931432,-0.533197,-0.0271545,-0.147042,0.549477
0.930698,-0.538365,-0.0279788,-0.149978,0.555028
0.929969,-0.543528,-0.0288194,-0.152942,0.560578
0.929243,-0.548688,-0.0296766,-0.155934,0.566128
0.928521,-0.553843,-0.0305504,-0.158954,0.571679
0.927804,-0.558995,-0.0314411,-0.162003,0.577229
0.92709,-0.564143,-0.0323488,-0.165079,0.582779
0.92638,-0.569286,-0.0332736,-0.168183,0.588329
0.925674,-0.574426,-0.0342158,-0.171316,0.59388
0.924973,-0.579562,-0.0351754,-0.174476,0.59943
0.924275,-0.584694,-0.0361526,-0.177664,0.60498
0.923581,-0.589822,-0.0371476,-0.18088,0.61053
0.922891,-0.594946,-0.0381605,-0.184124,0.616081
0.922205,-0.600066,-0.0391915,-0.187396,0.621631
0.921523,-0.605183,-0.0402408,-0.190696,0.627181
0.920844,-0.610296,-0.0413084,-0.194024,0.632732
0.92017,-0.615405,-0.0423946,-0.197379,0.638282
0.919499,-0.62051,-0.0434995,-0.200762,0.643832
0.918832,-0.625612,-0.0446232,-0.204173,0.649382
0.918169,-0.63071,-0.045766,-0.207612,0.654933
0.91751,-0.635804,-0.0469279,-0.211079,0.660483
0.916854,-0.640894,-0.0481091,-0.214573,0.666033
0.916202,-0.645981,-0.0493098,-0.218095,0.671584
0.915554,-0.651065,-0.0505301,-0.221644,0.677134
0.914909,-0.656145,-0.0517702,-0.225222,0.682684
0.914268,-0.661221,-0.0530303,-0.228826,0.688234
0.913631,-0.666294,-0.0543104,-0.232459,0.693785
0.912997,-0.671363,-0.0556107,-0.236119,0.699335
0.912366,-0.676428,-0.0569315,-0.239807,0.704885
0.91174,-0.68149,-0.0582728,-0.243522,0.710435
0.911117,-0.686549,-0.0596348,-0.247265,0.715986
0.910497,-0.691604,-0.0610176,-0.251035,0.721536
0.909881,-0.696656,-0.0624215,-0.254833,0.727086
0.909268,-0.701705,-0.0638464,-0.258658,0.732637
0.908658,-0.70675,-0.0652928,-0.262511,0.738187
0.908052,-0.711791,-0.0667605,-0.266391,0.743737
0.90745,-0.716829,-0.0682499,-0.270299,0.749287
0.90685,-0.721864,-0.069761,-0.274234,0.754838
0.906254,-0.726896,-0.0712941,-0.278196,0.760388
0.905661,-0.731924,-0.0728492,-0.282186,0.765938
0.905072,-0.736949,-0.0744266,-0.286204,0.771488
0.904486,-0.741971,-0.0760263,-0.290248,0.777039
0.903903,-0.74699,-0.0776485,-0.29432,0.782589
0.903323,-0.752005,-0.0792935,-0.298419,0.788139
0.902746,-0.757017,-0.0809612,-0.302546,0.79369
0.902173,-0.762026,-0.0826519,-0.306699,0.79924
0.901602,-0.767032,-0.0843658,-0.310881,0.80479
0.901035,-0.772034,-0.0861029,-0.315089,0.81034
0.90047,-0.777034,-0.0878635,-0.319324,0.815891
0.899909,-0.78203,-0.0896477,-0.323587,0.821441
0.899351,-0.787023,-0.0914555,-0.327877,0.826991
0.898796,-0.792013,-0.0932873,-0.332194,0.832542
0.898243,-0.797,-0.0951431,-0.336538,0.838092
0.897694,-0.801984,-0.0970231,-0.34091,0.843642
0.897148,-0.806965,-0.0989275,-0.345308,0.849192
0.896604,-0.811943,-0.100856,-0.349734,0.854743
0.896063,-0.816918,-0.10281,-0.354187,0.860293
0.895526,-0.82189,-0.104788,-0.358666,0.865843
0.894991,-0.826859,-0.106791,-0.363173,0.871393
0.894458,-0.831825,-0.108819,-0.367707,0.876944
0.893929,-0.836788,-0.110873,-0.372268,0.882494
0.893402,-0.841748,-0.112952,-0.376856,0.888044
0.892878,-0.846705,-0.115056,-0.381471,0.893595
0.892357,-0.851659,-0.117187,-0.386113,0.899145
0.891839,-0.856611,-0.119342,-0.390782,0.904695
0.891323,-0.861559,-0.121524,-0.395478,0.910245
0.89081,-0.866505,-0.123733,-0.4002,0.915796
0.890299,-0.871448,-0.125967,-0.40495,0.921346
0.889791,-0.876388,-0.128228,-0.409727,0.926896
0.889286,-0.881325,-0.130515,-0.41453,0.932447
0.888783,-0.886259,-0.132829,-0.419361,0.937997
0.888283,-0.891191,-0.13517,-0.424218,0.943547
0.887785,-0.89612,-0.137538,-0.429102,0.949097
0.88729,-0.901046,-0.139934,-0.434013,0.954648
0.886797,-0.905969,-0.142356,-0.438951,0.960198
0.886306,-0.91089,-0.144806,-0.443915,0.965748
0.885818,-0.915808,-0.147284,-0.448906,0.971298
0.885333,-0.920723,-0.149789,-0.453924,0.976849
0.88485,-0.925635,-0.152323,-0.458969,0.982399
0.884369,-0.930545,-0.154884,-0.464041,0.987949
0.883891,-0.935452,-0.157474,-0.469139,0.9935
0.883415,-0.940357,-0.160092,-0.474264,0.99905
0.882941,-0.945259,-0.162739,-0.479416,1.0046
0.88247,-0.950158,-0.165414,-0.484594,1.01015
0.882,-0.955055,-0.168118,-0.4898,1.0157
0.881534,-0.959949,-0.170851,-0.495031,1.02125
0.881069,-0.96484,-0.173613,-0.50029,1.0268
0.880607,-0.969729,-0.176405,-0.505575,1.03235
0.880146,-0.974615,-0.179225,-0.510886,1.0379
0.879688,-0.979499,-0.182076,-0.516225,1.04345
0.879233,-0.98438,-0.184956,-0.52159,1.049
0.878779,-0.989259,-0.187866,-0.526981,1.05455
0.878327,-0.994135,-0.190806,-0.532399,1.0601
0.877878,-0.999009,-0.193776,-0.537844,1.06565
0.877431,-1.00388,-0.196776,-0.543315,1.0712
0.876986,-1.00875,-0.199807,-0.548812,1.07675
0.876542,-1.01362,-0.202868,-0.554336,1.0823
0.876101,-1.01848,-0.20596,-0.559887,1.08785
0.875662,-1.02334,-0.209083,-0.565464,1.0934
0.875225,-1.0282,-0.212237,-0.571068,1.09895
0.87479,-1.03306,-0.215423,-0.576698,1.10451
0.874357,-1.03791,-0.218639,-0.582354,1.11006
0.873926,-1.04276,-0.221887,-0.588037,1.11561
0.873497,-1.04761,-0.225167,-0.593746,1.12116
0.87307,-1.05246,-0.228478,-0.599482,1.12671
0.872645,-1.0573,-0.231821,-0.605244,1.13226
0.872222,-1.06214,-0.235197,-0.611033,1.13781
0.8718,-1.06698,-0.238604,-0.616847,1.14336
0.871381,-1.07182,-0.242044,-0.622689,1.14891
0.870963,-1.07666,-0.245516,-0.628556,1.15446
0.870547,-1.08149,-0.249021,-0.63445,1.16001
0.870134,-1.08632,-0.252559,-0.64037,1.16556
0.869721,-1.09115,-0.25613,-0.646317,1.17111
0.869311,-1.09598,-0.259734,-0.65229,1.17666
0.868903,-1.1008,-0.263371,-0.658289,1.18221
0.868496,-1.10562,-0.267041,-0.664314,1.18776
0.868091,-1.11044,-0.270745,-0.670366,1.19331
0.867688,-1.11526,-0.274483,-0.676444,1.19886
0.867286,-1.12007,-0.278254,-0.682548,1.20441
0.866887,-1.12488,-0.282059,-0.688678,1.20996
0.866489,-1.12969,-0.285899,-0.694835,1.21551
0.866093,-1.1345,-0.289772,-0.701017,1.22106
0.865698,-1.13931,-0.29368,-0.707226,1.22661
0.865305,-1.14411,-0.297623,-0.713461,1.23216
0.864914,-1.14891,-0.3016,-0.719722,1.23771
0.864524,-1.15371,-0.305612,-0.72601,1.24326
0.864136,-1.15851,-0.309659,-0.732323,1.24881
0.86375,-1.16331,-0.313742,-0.738663,1.25436
0.863365,-1.1681,-0.317859,-0.745029,1.25991
0.862982,-1.17289,-0.322012,-0.751421,1.26546
0.862601,-1.17768,-0.3262,-0.757839,1.27101
0.862221,-1.18247,-0.330424,-0.764283,1.27656
0.861843,-1.18725,-0.334684,-0.770753,1.28211
0.861466,-1.19203,-0.33898,-0.777249,1.28766
0.861091,-1.19681,-0.343312,-0.783771,1.29321
0.860717,-1.20159,-0.347681,-0.790319,1.29876
0.860345,-1.20637,-0.352085,-0.796894,1.30432
0.859974,-1.21114,-0.356527,-0.803494,1.30987
0.859605,-1.21591,-0.361005,-0.81012,1.31542
0.859238,-1.22068,-0.365519,-0.816773,1.32097
0.858872,-1.22545,-0.370071,-0.823451,1.32652
0.858507,-1.23022,-0.37466,-0.830155,1.33207
0.858144,-1.23498,-0.379286,-0.836885,1.33762
0.857782,-1.23974,-0.38395,-0.843641,1.34317
0.857422,-1.2445,-0.388651,-0.850423,1.34872
0.857063,-1.24926,-0.39339,-0.857231,1.35427
0.856705,-1.25402,-0.398167,-0.864065,1.35982
0.856349,-1.25877,-0.402982,-0.870925,1.36537
0.855995,-1.26352,-0.407835,-0.877811,1.37092
0.855641,-1.26827,-0.412726,-0.884722,1.37647
0.855289,-1.27302,-0.417656,-0.89166,1.38202
0.854939,-1.27777,-0.422624,-0.898623,1.38757
0.85459,-1.28251,-0.427631,-0.905612,1.39312
0.854242,-1.28725,-0.432677,-0.912627,1.39867
0.853896,-1.29199,-0.437762,-0.919668,1.40422
0.85355,-1.29673,-0.442886,-0.926735,1.40977
0.853207,-1.30147,-0.448049,-0.933827,1.41532
0.852864,-1.3062,-0.453252,-0.940946,1.42087
0.852523,-1.31094,-0.458494,-0.94809,1.42642
0.852183,-1.31567,-0.463776,-0.95526,1.43197
0.851844,-1.3204,-0.469098,-0.962455,1.43752
0.851507,-1.32512,-0.47446,-0.969677,1.44307
0.851171,-1.32985,-0.479862,-0.976924,1.44862
0.850836,-1.33457,-0.485305,-0.984197,1.45417
0.850503,-1.33929,-0.490787,-0.991495,1.45972
0.850171,-1.34401,-0.496311,-0.99882,1.46527
0.849839,-1.34873,-0.501875,-1.00617,1.47082
0.84951,-1.35345,-0.50748,-1.01355,1.47637
0.849181,-1.35816,-0.513126,-1.02095,1.48192
0.848854,-1.36287,-0.518813,-1.02837,1.48747
0.848527,-1.36758,-0.524541,-1.03583,1.49302
0.848203,-1.37229,-0.530311,-1.0433,1.49857
0.847879,-1.377,-0.536123,-1.05081,1.50413
0.847556,-1.3817,-0.541976,-1.05834,1.50968
0.847235,-1.38641,-0.547871,-1.06589,1.51523
0.846914,-1.39111,-0.553808,-1.07348,1.52078
0.846595,-1.39581,-0.559787,-1.08108,1.52633
0.846277,-1.40051,-0.565809,-1.08871,1.53188
0.84596,-1.4052,-0.571873,-1.09637,1.53743
0.845645,-1.4099,-0.577979,-1.10405,1.54298
0.84533,-1.41459,-0.584128,-1.11176,1.54853
0.845017,-1.41928,-0.59032,-1.1195,1.55408
0.844704,-1.42397,-0.596555,-1.12726,1.55963
0.844393,-1.42866,-0.602834,-1.13504,1.56518
0.844083,-1.43334,-0.609155,-1.14285,1.57073
0.844079,-1.4334,-0.609233,-1.14295,1.5708
