p1,p2,x1,x2,time
1.85702,-1.13002,0.41549,0.45862,0.582779
1.8556,-1.14032,0.418016,0.451797,0.588329
1.85419,-1.15061,0.420505,0.444922,0.59388
1.85278,-1.1609,0.422955,0.437995,0.59943
1.85139,-1.17118,0.425367,0.431014,0.60498
1.85,-1.18145,0.42774,0.423981,0.61053
1.84861,-1.19172,0.430073,0.416896,0.616081
1.84724,-1.20197,0.432367,0.409758,0.621631
1.84587,-1.21222,0.434622,0.402567,0.627181
1.84451,-1.22246,0.436836,0.395325,0.632732
1.84316,-1.2327,0.43901,0.388029,0.638282
1.84182,-1.24292,0.441143,0.380681,0.643832
1.84048,-1.25314,0.443235,0.373281,0.649382
1.83916,-1.26335,0.445287,0.365828,0.654933
1.83783,-1.27356,0.447296,0.358323,0.660483
1.83652,-1.28376,0.449264,0.350766,0.666033
1.83522,-1.29395,0.45119,0.343156,0.671583
1.83392,-1.30413,0.453073,0.335494,0.677134
1.83263,-1.3143,0.454914,0.32778,0.682684
1.83134,-1.32447,0.456712,0.320013,0.688234
1.83006,-1.33463,0.458466,0.312195,0.693785
1.8288,-1.34479,0.460177,0.304324,0.699335
1.82753,-1.35493,0.461844,0.2964,0.704885
1.82628,-1.36507,0.463467,0.288425,0.710435
1.82503,-1.37521,0.465046,0.280397,0.715986
1.82379,-1.38533,0.46658,0.272317,0.721536
1.82255,-1.39545,0.468069,0.264185,0.727086
1.82133,-1.40556,0.469512,0.256001,0.732637
1.82011,-1.41567,0.47091,0.247765,0.738187
1.81889,-1.42577,0.472262,0.239477,0.743737
1.81768,-1.43586,0.473568,0.231136,0.749287
1.81648,-1.44594,0.474828,0.222744,0.754838
1.81529,-1.45602,0.476041,0.214299,0.760388
1.8141,-1.46609,0.477207,0.205803,0.765938
1.81292,-1.47616,0.478325,0.197254,0.771488
1.81175,-1.48622,0.479396,0.188653,0.777039
1.81058,-1.49627,0.480419,0.180001,0.782589
1.80942,-1.50632,0.481394,0.171296,0.788139
1.80826,-1.51636,0.482321,0.162539,0.79369
1.80711,-1.52639,0.483199,0.153731,0.79924
1.80597,-1.53642,0.484027,0.14487,0.80479
1.80483,-1.54644,0.484807,0.135958,0.81034
1.8037,-1.55645,0.485536,0.126993,0.815891
1.80258,-1.56646,0.486216,0.117977,0.821441
1.80146,-1.57646,0.486846,0.108909,0.826991
1.80035,-1.58646,0.487425,0.0997885,0.832542
1.79924,-1.59645,0.487953,0.0906165,0.838092
1.79814,-1.60643,0.488431,0.0813926,0.843642
1.79705,-1.61641,0.488857,0.0721169,0.849192
1.79596,-1.62638,0.489231,0.0627893,0.854743
1.79488,-1.63634,0.489554,0.0534099,0.860293
1.7938,-1.6463,0.489824,0.0439787,0.865843
1.79273,-1.65626,0.490042,0.0344957,0.871393
1.79166,-1.6662,0.490207,0.0249609,0.876944
1.7906,-1.67614,0.490319,0.0153743,0.882494
1.78955,-1.68608,0.490377,0.00573599,0.888044
1.7885,-1.69601,0.490382,-0.0039541,0.893595
1.78745,-1.70593,0.490333,-0.0136959,0.899145
1.78641,-1.71585,0.49023,-0.0234895,0.904695
1.78538,-1.72576,0.490073,-0.0333348,0.910245
1.78435,-1.73567,0.48986,-0.0432318,0.915796
1.78333,-1.74557,0.489593,-0.0531804,0.921346
1.78231,-1.75546,0.48927,-0.0631808,0.926896
1.7813,-1.76535,0.488891,-0.0732328,0.932447
1.78029,-1.77524,0.488457,-0.0833365,0.937997
1.77929,-1.78512,0.487966,-0.0934918,0.943547
1.77829,-1.79499,0.487419,-0.103699,0.949097
1.7773,-1.80486,0.486815,-0.113957,0.954648
1.77631,-1.81472,0.486154,-0.124268,0.960198
1.77533,-1.82457,0.485435,-0.134629,0.965748
1.77436,-1.83443,0.484659,-0.145043,0.971298
1.77338,-1.84427,0.483825,-0.155508,0.976849
1.77242,-1.85411,0.482933,-0.166024,0.982399
1.77145,-1.86395,0.481982,-0.176592,0.987949
1.77049,-1.87378,0.480972,-0.187212,0.9935
1.76954,-1.8836,0.479904,-0.197883,0.99905
1.76859,-1.89342,0.478776,-0.208605,1.0046
1.76765,-1.90323,0.477588,-0.219379,1.01015
1.76671,-1.91304,0.47634,-0.230205,1.0157
1.76577,-1.92284,0.475033,-0.241082,1.02125
1.76484,-1.93264,0.473664,-0.252011,1.0268
1.76392,-1.94243,0.472235,-0.262991,1.03235
1.76299,-1.95222,0.470745,-0.274022,1.0379
1.76208,-1.962,0.469193,-0.285105,1.04345
1.76116,-1.97178,0.46758,-0.296239,1.049
1.76025,-1.98155,0.465905,-0.307425,1.05455
1.75935,-1.99132,0.464167,-0.318662,1.0601
1.75845,-2.00108,0.462367,-0.32995,1.06565
1.75755,-2.01084,0.460504,-0.34129,1.0712
1.75666,-2.02059,0.458579,-0.352681,1.07675
1.75577,-2.03034,0.456589,-0.364123,1.0823
1.75489,-2.04008,0.454537,-0.375617,1.08785
1.75401,-2.04982,0.45242,-0.387162,1.0934
1.75314,-2.05955,0.450239,-0.398758,1.09895
1.75227,-2.06928,0.447993,-0.410406,1.10451
1.7514,-2.07901,0.445683,-0.422105,1.11006
1.75053,-2.08872,0.443308,-0.433855,1.11561
1.74968,-2.09844,0.440867,-0.445657,1.12116
1.74882,-2.10815,0.43836,-0.457509,1.12671
1.74797,-2.11785,0.435788,-0.469413,1.13226
1.74712,-2.12755,0.43315,-0.481368,1.13781
1.74628,-2.13724,0.430445,-0.493375,1.14336
1.74544,-2.14693,0.427673,-0.505432,1.14891
1.7446,-2.15662,0.424834,-0.517541,1.15446
1.74377,-2.1663,0.421928,-0.529701,1.16001
1.74294,-2.17598,0.418954,-0.541912,1.16556
1.74211,-2.18565,0.415912,-0.554174,1.17111
1.74129,-2.19531,0.412802,-0.566487,1.17666
1.74047,-2.20498,0.409624,-0.578851,1.18221
1.73966,-2.21463,0.406376,-0.591267,1.18776
1.73885,-2.22429,0.40306,-0.603733,1.19331
1.73804,-2.23394,0.399675,-0.616251,1.19886
1.73723,-2.24358,0.396219,-0.62882,1.20441
1.73643,-2.25322,0.392694,-0.641439,1.20996
1.73564,-2.26286,0.389099,-0.65411,1.21551
1.73484,-2.27249,0.385433,-0.666832,1.22106
1.73405,-2.28211,0.381697,-0.679605,1.22661
1.73327,-2.29174,0.377889,-0.692428,1.23216
1.73248,-2.30135,0.37401,-0.705303,1.23771
1.7317,-2.31097,0.37006,-0.718229,1.24326
1.73092,-2.32058,0.366037,-0.731206,1.24881
1.73015,-2.33018,0.361943,-0.744233,1.25436
1.72938,-2.33978,0.357776,-0.757312,1.25991
1.72861,-2.34938,0.353536,-0.770441,1.26546
1.72785,-2.35897,0.349223,-0.783622,1.27101
1.72709,-2.36856,0.344837,-0.796853,1.27656
1.72633,-2.37814,0.340378,-0.810135,1.28211
1.72558,-2.38772,0.335844,-0.823468,1.28766
1.72482,-2.3973,0.331237,-0.836852,1.29321
1.72408,-2.40687,0.326555,-0.850287,1.29876
1.72333,-2.41644,0.321798,-0.863772,1.30432
1.72259,-2.426,0.316966,-0.877309,1.30987
1.72185,-2.43556,0.312059,-0.890896,1.31542
1.72111,-2.44511,0.307077,-0.904534,1.32097
1.72038,-2.45466,0.302018,-0.918222,1.32652
1.71965,-2.46421,0.296884,-0.931962,1.33207
1.71892,-2.47375,0.291673,-0.945752,1.33762
1.7182,-2.48329,0.286385,-0.959593,1.34317
1.71747,-2.49283,0.281021,-0.973485,1.34872
1.71676,-2.50236,0.275579,-0.987427,1.35427
1.71604,-2.51188,0.27006,-1.00142,1.35982
1.71533,-2.5214,0.264463,-1.01546,1.36537
1.71462,-2.53092,0.258788,-1.02956,1.37092
1.71391,-2.54044,0.253034,-1.0437,1.37647
1.7132,-2.54995,0.247202,-1.0579,1.38202
1.7125,-2.55946,0.241291,-1.07215,1.38757
1.7118,-2.56896,0.2353,-1.08644,1.39312
1.71111,-2.57846,0.22923,-1.10079,1.39867
1.71041,-2.58795,0.223081,-1.11519,1.40422
1.70972,-2.59744,0.216851,-1.12964,1.40977
1.70903,-2.60693,0.210541,-1.14414,1.41532
1.70835,-2.61642,0.20415,-1.15869,1.42087
1.70766,-2.6259,0.197679,-1.17329,1.42642
1.70698,-2.63537,0.191126,-1.18794,1.43197
1.7063,-2.64484,0.184492,-1.20264,1.43752
1.70563,-2.65431,0.177776,-1.21739,1.44307
1.70495,-2.66378,0.170978,-1.2322,1.44862
1.70428,-2.67324,0.164098,-1.24705,1.45417
1.70362,-2.6827,0.157135,-1.26195,1.45972
1.70295,-2.69215,0.15009,-1.27691,1.46527
1.70229,-2.7016,0.142961,-1.29191,1.47082
1.70163,-2.71105,0.135749,-1.30696,1.47637
1.70097,-2.72049,0.128453,-1.32207,1.48192
1.70031,-2.72993,0.121073,-1.33723,1.48747
1.69966,-2.73936,0.113609,-1.35243,1.49302
1.69901,-2.74879,0.10606,-1.36769,1.49857
1.69836,-2.75822,0.0984264,-1.383,1.50413
1.69771,-2.76765,0.0907078,-1.39835,1.50968
1.69707,-2.77707,0.0829038,-1.41376,1.51523
1.69643,-2.78649,0.0750142,-1.42922,1.52078
1.69579,-2.7959,0.0670386,-1.44473,1.52633
1.69515,-2.80531,0.0589768,-1.46028,1.53188
1.69452,-2.81472,0.0508285,-1.47589,1.53743
1.69388,-2.82412,0.0425935,-1.49155,1.54298
1.69325,-2.83352,0.0342714,-1.50726,1.54853
1.69263,-2.84292,0.0258619,-1.52302,1.55408
1.692,-2.85231,0.0173649,-1.53883,1.55963
1.69138,-2.8617,0.00877998,-1.55469,1.56518
1.69076,-2.87108,0.000106883,-1.5706,1.57073
1.69075,-2.8712,8.16292e-08,-1.5708,1.5708
