det,time
0.000122704,0.015708
0.000487991,0.0314159
0.00109127,0.0471239
0.00192749,0.0628319
0.00299113,0.0785398
0.00427628,0.0942478
0.00577657,0.109956
0.00748522,0.125664
0.00939509,0.141372
0.0114987,0.15708
0.013788,0.172788
0.016255,0.188496
0.0188909,0.204204
0.0216871,0.219911
0.0246344,0.235619
0.0277233,0.251327
0.0309442,0.267035
0.0342873,0.282743
0.0377424,0.298451
0.0412995,0.314159
0.0449479,0.329867
0.0486772,0.345575
0.0524767,0.361283
0.0563356,0.376991
0.0602431,0.392699
0.0641882,0.408407
0.0681601,0.424115
0.0721476,0.439823
0.07614,0.455531
0.0801263,0.471239
0.0840956,0.486947
0.0880371,0.502655
0.0919402,0.518363
0.0957943,0.534071
0.0995888,0.549779
0.103314,0.565487
0.106959,0.581195
0.110514,0.596903
0.113969,0.612611
0.117316,0.628319
0.120545,0.644026
0.123647,0.659734
0.126613,0.675442
0.129435,0.69115
0.132105,0.706858
0.134616,0.722566
0.13696,0.738274
0.13913,0.753982
0.14112,0.76969
0.142924,0.785398
0.144535,0.801106
0.14595,0.816814
0.147162,0.832522
0.148168,0.84823
0.148964,0.863938
0.149546,0.879646
0.149911,0.895354
0.150058,0.911062
0.149983,0.92677
0.149686,0.942478
0.149166,0.958186
0.148423,0.973894
0.147456,0.989602
0.146266,1.00531
0.144855,1.02102
0.143224,1.03673
0.141375,1.05243
0.139312,1.06814
0.137038,1.08385
0.134556,1.09956
0.131871,1.11527
0.128988,1.13097
0.125913,1.14668
0.122651,1.16239
0.119209,1.1781
0.115593,1.19381
0.111813,1.20951
0.107874,1.22522
0.103787,1.24093
0.0995591,1.25664
0.0952006,1.27235
0.0907212,1.28805
0.0861312,1.30376
0.0814413,1.31947
0.0766626,1.33518
0.0718065,1.35088
0.0668851,1.36659
0.0619106,1.3823
0.0568955,1.39801
0.0518529,1.41372
0.0467958,1.42942
0.041738,1.44513
0.0366933,1.46084
0.0316756,1.47655
0.0266994,1.49226
0.0217791,1.50796
0.0169295,1.52367
0.0121654,1.53938
0.00750205,1.55509
0.0029545,1.5708
