p1,p2,x1,x2,time
-14.636,-16.0245,2.4342,-6.7445,0.3499
-14.7523,-15.9464,2.41027,-6.801,0.353434
-14.868,-15.8682,2.38613,-6.85722,0.356968
-14.9831,-15.7899,2.3618,-6.91316,0.360503
-15.0975,-15.7116,2.33726,-6.96883,0.364037
-15.2114,-15.6331,2.31254,-7.02422,0.367571
-15.3247,-15.5546,2.28761,-7.07934,0.371106
-15.4375,-15.476,2.2625,-7.13417,0.37464
-15.5496,-15.3974,2.23718,-7.18873,0.378174
-15.6612,-15.3187,2.21168,-7.24301,0.381709
-15.7721,-15.2399,2.18599,-7.29701,0.385243
-15.8826,-15.1611,2.1601,-7.35074,0.388777
-15.9924,-15.0822,2.13403,-7.40418,0.392312
-16.1017,-15.0033,2.10776,-7.45735,0.395846
-16.2105,-14.9244,2.08131,-7.51024,0.39938
-16.3187,-14.8454,2.05468,-7.56285,0.402915
-16.4263,-14.7664,2.02785,-7.61517,0.406449
-16.5334,-14.6873,2.00085,-7.66722,0.409983
-16.64,-14.6082,1.97366,-7.71899,0.413518
-16.746,-14.5291,1.94628,-7.77048,0.417052
-16.8516,-14.4499,1.91873,-7.8217,0.420586
-16.9565,-14.3708,1.891,-7.87263,0.424121
-17.061,-14.2916,1.86308,-7.92328,0.427655
-17.165,-14.2124,1.83499,-7.97365,0.431189
-17.2684,-14.1331,1.80672,-8.02374,0.434724
-17.3714,-14.0539,1.77827,-8.07355,0.438258
-17.4739,-13.9746,1.74965,-8.12308,0.441792
-17.5758,-13.8954,1.72085,-8.17233,0.445327
-17.6773,-13.8161,1.69188,-8.2213,0.448861
-17.7783,-13.7368,1.66274,-8.27,0.452395
-17.8788,-13.6575,1.63342,-8.31841,0.45593
-17.9788,-13.5782,1.60394,-8.36654,0.459464
-18.0784,-13.4989,1.57428,-8.41439,0.462998
-18.1775,-13.4196,1.54446,-8.46196,0.466533
-18.2761,-13.3403,1.51447,-8.50924,0.470067
-18.3743,-13.261,1.48431,-8.55625,0.473602
-18.472,-13.1817,1.45399,-8.60298,0.477136
-18.5692,-13.1024,1.4235,-8.64943,0.48067
-18.6661,-13.0231,1.39285,-8.6956,0.484205
-18.7625,-12.9438,1.36204,-8.74149,0.487739
-18.8584,-12.8645,1.33106,-8.78709,0.491273
-18.9539,-12.7852,1.29992,-8.83242,0.494808
-19.049,-12.7059,1.26863,-8.87747,0.498342
-19.1437,-12.6267,1.23717,-8.92224,0.501876
-19.2379,-12.5474,1.20556,-8.96672,0.505411
-19.3318,-12.4681,1.17379,-9.01093,0.508945
-19.4252,-12.3889,1.14186,-9.05486,0.512479
-19.5182,-12.3096,1.10978,-9.0985,0.516014
-19.6108,-12.2304,1.07755,-9.14187,0.519548
-19.703,-12.1512,1.04516,-9.18496,0.523082
-19.7948,-12.072,1.01262,-9.22776,0.526617
-19.8863,-11.9928,0.979934,-9.27029,0.530151
-19.9773,-11.9136,0.947095,-9.31254,0.533685
-20.068,-11.8344,0.914107,-9.3545,0.53722
-20.1583,-11.7552,0.880971,-9.39619,0.540754
-20.2482,-11.6761,0.847689,-9.4376,0.544288
-20.3377,-11.5969,0.81426,-9.47872,0.547823
-20.4269,-11.5178,0.780687,-9.51957,0.551357
-20.5157,-11.4386,0.74697,-9.56014,0.554891
-20.6042,-11.3595,0.71311,-9.60043,0.558426
-20.6923,-11.2804,0.679108,-9.64044,0.56196
-20.78,-11.2013,0.644965,-9.68016,0.565494
-20.8675,-11.1222,0.610682,-9.71961,0.569029
-20.9545,-11.0432,0.576261,-9.75878,0.572563
-21.0412,-10.9641,0.541701,-9.79767,0.576097
-21.1276,-10.885,0.507004,-9.83629,0.579632
-21.2137,-10.806,0.472172,-9.87462,0.583166
-21.2994,-10.727,0.437204,-9.91267,0.5867
-21.3848,-10.648,0.402103,-9.95044,0.590235
-21.4699,-10.569,0.366868,-9.98794,0.593769
-21.5547,-10.49,0.331501,-10.0252,0.597303
-21.6391,-10.411,0.296004,-10.0621,0.600838
-21.7233,-10.332,0.260376,-10.0987,0.604372
-21.8071,-10.2531,0.224619,-10.1351,0.607906
-21.8907,-10.1741,0.188734,-10.1712,0.611441
-21.9739,-10.0952,0.152723,-10.207,0.614975
-22.0568,-10.0163,0.116584,-10.2426,0.618509
-22.1395,-9.93734,0.0803213,-10.2778,0.622044
-22.2218,-9.85843,0.0439341,-10.3128,0.625578
-22.3039,-9.77954,0.00742363,-10.3475,0.629112
-22.3857,-9.70065,-0.029209,-10.382,0.632647
-22.4672,-9.62177,-0.0659627,-10.4161,0.636181
-22.5484,-9.54291,-0.102837,-10.45,0.639715
-22.6294,-9.46405,-0.13983,-10.4836,0.64325
-22.7101,-9.38521,-0.176941,-10.5169,0.646784
-22.7905,-9.30637,-0.21417,-10.5499,0.650318
-22.8707,-9.22754,-0.251515,-10.5826,0.653853
-22.9505,-9.14872,-0.288975,-10.6151,0.657387
-23.0302,-9.06991,-0.326549,-10.6473,0.660922
-23.1096,-8.99111,-0.364237,-10.6792,0.664456
-23.1887,-8.91232,-0.402037,-10.7109,0.66799
-23.2676,-8.83354,-0.439948,-10.7422,0.671525
-23.3462,-8.75476,-0.47797,-10.7733,0.675059
-23.4246,-8.676,-0.516101,-10.8041,0.678593
-23.5028,-8.59724,-0.554341,-10.8346,0.682128
-23.5807,-8.51849,-0.592687,-10.8649,0.685662
-23.6584,-8.43974,-0.631141,-10.8949,0.689196
-23.7358,-8.36101,-0.669699,-10.9245,0.692731
-23.8131,-8.28228,-0.708362,-10.954,0.696265
-23.8901,-8.20356,-0.747129,-10.9831,0.699799
-23.9669,-8.12485,-0.785998,-11.0119,0.703334
-24.0434,-8.04614,-0.824969,-11.0405,0.706868
-24.1198,-7.96745,-0.86404,-11.0688,0.710402
-24.1959,-7.88876,-0.90321,-11.0968,0.713937
-24.2718,-7.81007,-0.942479,-11.1246,0.717471
-24.3475,-7.7314,-0.981846,-11.152,0.721005
-24.4231,-7.65273,-1.02131,-11.1792,0.72454
-24.4984,-7.57407,-1.06087,-11.2061,0.728074
-24.5735,-7.49541,-1.10052,-11.2328,0.731608
-24.6484,-7.41676,-1.14027,-11.2591,0.735143
-24.7231,-7.33812,-1.18011,-11.2852,0.738677
-24.7976,-7.25949,-1.22004,-11.311,0.742211
-24.8719,-7.18086,-1.26006,-11.3365,0.745746
-24.9461,-7.10224,-1.30017,-11.3618,0.74928
-25.0201,-7.02362,-1.34037,-11.3867,0.752814
-25.0938,-6.94502,-1.38066,-11.4114,0.756349
-25.1674,-6.86642,-1.42104,-11.4358,0.759883
-25.2409,-6.78782,-1.4615,-11.4599,0.763417
-25.3141,-6.70924,-1.50204,-11.4838,0.766952
-25.3872,-6.63065,-1.54267,-11.5074,0.770486
-25.4601,-6.55208,-1.58339,-11.5307,0.77402
-25.5328,-6.47352,-1.62418,-11.5537,0.777555
-25.6054,-6.39496,-1.66505,-11.5764,0.781089
-25.6778,-6.3164,-1.70601,-11.5989,0.784623
-25.7501,-6.23786,-1.74704,-11.6211,0.788158
-25.8222,-6.15932,-1.78815,-11.643,0.791692
-25.8941,-6.08079,-1.82934,-11.6646,0.795226
-25.9659,-6.00227,-1.87061,-11.686,0.798761
-26.0375,-5.92376,-1.91195,-11.707,0.802295
-26.109,-5.84525,-1.95336,-11.7278,0.805829
-26.1804,-5.76675,-1.99485,-11.7484,0.809364
-26.2516,-5.68826,-2.03641,-11.7686,0.812898
-26.3226,-5.60978,-2.07803,-11.7886,0.816432
-26.3936,-5.5313,-2.11973,-11.8082,0.819967
-26.4644,-5.45284,-2.1615,-11.8277,0.823501
-26.535,-5.37438,-2.20334,-11.8468,0.827035
-26.6055,-5.29593,-2.24524,-11.8657,0.83057
-26.6759,-5.21749,-2.28721,-11.8842,0.834104
-26.7462,-5.13906,-2.32925,-11.9025,0.837638
-26.8163,-5.06065,-2.37135,-11.9206,0.841173
-26.8863,-4.98224,-2.41351,-11.9383,0.844707
-26.9562,-4.90384,-2.45574,-11.9558,0.848242
-27.026,-4.82545,-2.49802,-11.973,0.851776
-27.0956,-4.74707,-2.54037,-11.9899,0.85531
-27.1652,-4.6687,-2.58278,-12.0065,0.858845
-27.2346,-4.59035,-2.62524,-12.0229,0.862379
-27.3039,-4.51201,-2.66776,-12.039,0.865913
-27.3731,-4.43367,-2.71034,-12.0548,0.869448
-27.4422,-4.35536,-2.75297,-12.0703,0.872982
-27.5112,-4.27705,-2.79566,-12.0856,0.876516
-27.5801,-4.19876,-2.8384,-12.1005,0.880051
-27.6489,-4.12048,-2.88119,-12.1152,0.883585
-27.7176,-4.04221,-2.92404,-12.1297,0.887119
-27.7862,-3.96396,-2.96693,-12.1438,0.890654
-27.8547,-3.88572,-3.00988,-12.1577,0.894188
-27.9231,-3.8075,-3.05287,-12.1713,0.897722
-27.9915,-3.72929,-3.09591,-12.1846,0.901257
-28.0597,-3.6511,-3.139,-12.1976,0.904791
-28.1278,-3.57293,-3.18213,-12.2104,0.908325
-28.1959,-3.49477,-3.22531,-12.2229,0.91186
