X,Y,time
-1.99279,-0.171386,3.06672
-1.99499,-0.142939,3.08008
-1.99671,-0.115755,3.09282
-1.99802,-0.0899185,3.10487
-1.99896,-0.0655524,3.11614
-1.99957,-0.0428511,3.12644
-1.99991,-0.0221449,3.13544
-2.00001,-0.00930216,3.14298
-2.00002,0.0057858,3.14983
-1.99993,0.0194522,3.15853
-1.99969,0.0367915,3.16841
-1.99923,0.0563946,3.17914
-1.99851,0.0776274,3.19055
-1.99749,0.100124,3.20253
-1.99615,0.123642,3.21499
-1.99446,0.148009,3.22788
-1.99239,0.173091,3.24115
-1.98992,0.198784,3.25477
-1.98704,0.225005,3.2687
-1.98372,0.251681,3.28291
-1.97995,0.278755,3.2974
-1.97571,0.306174,3.31214
-1.97099,0.333895,3.32712
-1.96578,0.361879,3.34232
-1.96007,0.390091,3.35774
-1.95383,0.418501,3.37336
-1.94707,0.447082,3.38919
-1.93977,0.475808,3.40521
-1.93192,0.504658,3.42141
-1.9235,0.533612,3.4378
-1.91452,0.562651,3.45437
-1.90496,0.591758,3.47111
-1.89481,0.620917,3.48802
-1.88405,0.650115,3.50511
-1.8727,0.679338,3.52236
-1.86072,0.708574,3.53979
-1.84812,0.737811,3.55738
-1.83489,0.76704,3.57513
-1.82101,0.796249,3.59306
-1.80647,0.825431,3.61115
-1.79128,0.854576,3.6294
-1.77541,0.883676,3.64783
-1.75886,0.912723,3.66642
-1.74162,0.94171,3.68519
-1.72367,0.97063,3.70412
-1.70502,0.999477,3.72323
-1.68565,1.02824,3.74252
-1.66554,1.05693,3.76198
-1.64469,1.08552,3.78163
-1.62308,1.11401,3.80146
-1.60071,1.1424,3.82148
-1.57755,1.17068,3.84169
-1.55361,1.19885,3.8621
-1.52885,1.2269,3.88271
-1.50327,1.25483,3.90353
-1.47686,1.28263,3.92457
-1.44958,1.3103,3.94583
-1.42143,1.33783,3.96732
-1.39239,1.36523,3.98906
-1.36242,1.39248,4.01104
-1.3315,1.41957,4.0333
-1.29961,1.44652,4.05583
-1.26671,1.47331,4.07867
-1.23275,1.49995,4.10183
-1.1977,1.52643,4.12534
-1.16151,1.55274,4.14923
-1.1241,1.5789,4.17354
-1.0854,1.6049,4.19832
-1.04532,1.63076,4.22362
-1.00372,1.65648,4.24954
-0.96046,1.68208,4.27617
-0.915316,1.70761,4.30368
-0.867988,1.73311,4.3323
-0.818019,1.75868,4.36242
-0.76466,1.78451,4.3919
-0.711692,1.80868,4.41982
-0.660887,1.83053,4.4463
-0.612148,1.85029,4.47149
-0.565322,1.86817,4.4955
-0.520271,1.88438,4.51844
-0.476878,1.89908,4.54038
-0.435047,1.9124,4.56142
-0.3947,1.92447,4.58158
-0.355776,1.93538,4.60093
-0.318231,1.94523,4.6195
-0.282034,1.95409,4.6373
-0.247169,1.96205,4.65436
-0.213634,1.96915,4.67069
-0.181443,1.97547,4.68626
-0.150629,1.98105,4.70107
-0.121246,1.98595,4.71509
-0.0933837,1.99021,4.72824
-0.0671787,1.99387,4.74044
-0.0428517,1.99696,4.75148
-0.0207909,1.99952,4.76095
-0.00921031,2.00076,4.76895
0.00679969,2.00237,4.77644
0.0218117,2.00377,4.78586
0.0406799,2.00536,4.79646
0.0619559,2.00694,4.80792
0.0849707,2.00838,4.82005
0.109335,2.00962,4.83271
0.134788,2.01058,4.84582
0.161145,2.01122,4.8593
0.188262,2.01149,4.87311
0.216028,2.01136,4.88719
0.244351,2.01081,4.90152
0.273154,2.00978,4.91606
0.302374,2.00828,4.9308
0.331955,2.00627,4.94571
0.361849,2.00372,4.96077
0.392014,2.00063,4.97598
0.422412,1.99697,4.99132
0.45301,1.99273,5.00678
0.483778,1.98789,5.02235
0.514689,1.98244,5.03802
0.545717,1.97636,5.0538
0.57684,1.96964,5.06966
0.608037,1.96226,5.08562
0.639288,1.95422,5.10167
0.670576,1.9455,5.1178
0.701883,1.93608,5.13401
0.733194,1.92597,5.15031
0.764494,1.91514,5.16669
0.79577,1.90358,5.18315
0.827006,1.89129,5.1997
0.858192,1.87825,5.21633
0.889315,1.86446,5.23305
0.920364,1.84989,5.24985
0.951326,1.83455,5.26675
0.982193,1.81841,5.28375
1.01295,1.80148,5.30084
1.0436,1.78372,5.31804
1.07411,1.76514,5.33534
1.1045,1.74572,5.35277
1.13473,1.72545,5.37031
1.16482,1.70431,5.38798
1.19474,1.68229,5.40578
1.22449,1.65938,5.42373
1.25406,1.63555,5.44183
1.28344,1.61079,5.4601
1.31263,1.58508,5.47854
1.34161,1.5584,5.49717
1.37039,1.53072,5.516
1.39895,1.50203,5.53505
1.42728,1.47228,5.55434
1.45538,1.44145,5.57389
1.48325,1.4095,5.59372
1.51087,1.37638,5.61386
1.53825,1.34205,5.63435
1.56538,1.30643,5.65522
1.59227,1.26946,5.67653
1.61891,1.23104,5.69833
1.64531,1.19107,5.7207
1.67149,1.14938,5.74375
1.69748,1.10578,5.76761
1.72332,1.05999,5.79249
1.74909,1.01161,5.8187
1.77493,0.959971,5.84685
1.80117,0.903873,5.87437
1.82528,0.848449,5.90041
1.84669,0.795565,5.92511
1.86572,0.745055,5.94866
1.88269,0.696659,5.97119
1.89786,0.650159,5.99283
1.91145,0.605378,6.01366
1.92361,0.562175,6.03376
1.93449,0.520438,6.05319
1.94421,0.480079,6.07199
1.95286,0.441026,6.09019
1.96055,0.403225,6.10784
1.96734,0.366631,6.12494
1.97331,0.331213,6.14151
1.97852,0.296951,6.15757
1.98302,0.263831,6.17311
1.98687,0.231853,6.18813
1.99012,0.201026,6.20262
1.99282,0.171371,6.21656
1.99501,0.142924,6.22992
1.99674,0.115741,6.24266
1.99804,0.0899047,6.25471
1.99898,0.0655393,6.26597
1.99959,0.0428388,6.27628
1.99993,0.0221338,6.28527
2.00003,0.00929685,6.29281
2.00004,-0.00578949,6.29966
1.99995,-0.0194577,6.30837
1.99971,-0.0367981,6.31824
1.99925,-0.056402,6.32897
1.99853,-0.0776355,6.34038
1.99752,-0.100133,6.35236
1.99617,-0.123652,6.36483
1.99448,-0.148018,6.37772
1.99241,-0.173101,6.39099
1.98994,-0.198795,6.4046
1.98706,-0.225015,6.41853
1.98374,-0.251692,6.43275
1.97997,-0.278766,6.44724
1.97573,-0.306186,6.46198
1.97101,-0.333907,6.47695
1.9658,-0.361891,6.49216
1.96009,-0.390104,6.50758
1.95385,-0.418514,6.5232
1.94709,-0.447095,6.53903
1.93979,-0.475821,6.55504
1.93193,-0.504672,6.57125
1.92352,-0.533626,6.58763
1.91454,-0.562665,6.6042
1.90497,-0.591772,6.62094
1.89482,-0.620931,6.63786
1.88407,-0.650129,6.65494
1.87271,-0.679353,6.6722
1.86074,-0.708589,6.68962
1.84814,-0.737826,6.70721
1.8349,-0.767055,6.72497
1.82102,-0.796265,6.74289
1.80649,-0.825446,6.76098
1.79129,-0.854591,6.77924
1.77542,-0.883691,6.79767
1.75887,-0.912739,6.81626
1.74163,-0.941726,6.83502
1.72369,-0.970646,6.85396
1.70503,-0.999493,6.87307
1.68566,-1.02826,6.89236
1.66555,-1.05694,6.91182
1.6447,-1.08553,6.93147
1.62309,-1.11402,6.9513
1.60072,-1.14241,6.97132
1.57756,-1.1707,6.99153
1.55362,-1.19887,7.01194
1.52886,-1.22692,7.03255
1.50328,-1.25485,7.05337
1.47687,-1.28265,7.07441
1.44959,-1.31032,7.09567
1.42144,-1.33785,7.11716
1.39239,-1.36525,7.13889
1.36242,-1.39249,7.16088
1.33151,-1.41959,7.18313
1.29962,-1.44654,7.20567
1.26671,-1.47333,7.22851
1.23276,-1.49997,7.25167
1.19771,-1.52644,7.27518
1.16151,-1.55276,7.29907
1.1241,-1.57892,7.32338
1.0854,-1.60492,7.34816
1.04532,-1.63078,7.37346
1.00372,-1.6565,7.39938
0.96046,-1.6821,7.42601
0.915315,-1.70763,7.45352
0.867986,-1.73313,7.48214
0.818016,-1.7587,7.51226
0.764655,-1.78453,7.54174
0.711686,-1.8087,7.56966
0.660881,-1.83055,7.59614
0.61214,-1.85031,7.62133
0.565314,-1.86819,7.64534
0.520263,-1.8844,7.66827
0.47687,-1.8991,7.69022
0.435039,-1.91242,7.71125
0.394691,-1.92449,7.73142
0.355767,-1.9354,7.75077
0.318222,-1.94525,7.76934
0.282025,-1.95411,7.78714
0.24716,-1.96207,7.8042
0.213626,-1.96917,7.82052
0.181435,-1.97549,7.8361
0.15062,-1.98107,7.85091
0.121238,-1.98597,7.86493
0.0933757,-1.99023,7.87808
0.067171,-1.99389,7.89027
0.0428444,-1.99698,7.90131
0.0207843,-1.99954,7.91079
0.00921057,-2.00078,7.91878
-0.00679963,-2.00239,7.92628
-0.0218118,-2.00379,7.93569
-0.0406801,-2.00538,7.9463
-0.0619562,-2.00695,7.95776
-0.0849713,-2.0084,7.96989
-0.109335,-2.00964,7.98255
-0.134789,-2.0106,7.99566
-0.161146,-2.01124,8.00914
-0.188264,-2.01151,8.02294
-0.21603,-2.01138,8.03702
-0.244353,-2.01082,8.05135
-0.273156,-2.0098,8.0659
-0.302376,-2.0083,8.08063
-0.331958,-2.00628,8.09554
-0.361852,-2.00374,8.11061
-0.392017,-2.00065,8.12582
-0.422415,-1.99699,8.14115
-0.453014,-1.99275,8.15661
-0.483782,-1.98791,8.17218
-0.514693,-1.98246,8.18786
-0.545721,-1.97638,8.20363
-0.576844,-1.96966,8.2195
