t,p1,p2,y,x,z
0,24.814,8.02881,1,0,0
0.01,24.5659,7.78191,1.07905,0.0103973,5.13278e-05
0.0613897,23.2907,6.55224,1.44709,0.0755767,0.00217944
0.113096,22.0076,5.38113,1.75534,0.158631,0.00816581
0.164952,20.7209,4.27327,2.00547,0.256388,0.0188703
0.216598,19.4393,3.23622,2.19936,0.365199,0.0348785
0.267847,18.1676,2.27255,2.34072,0.481746,0.0565502
0.318629,16.9075,1.38196,2.43392,0.603169,0.0840771
0.368932,15.6593,0.562854,2.48323,0.727017,0.117523
0.41877,14.4226,-0.186756,2.49253,0.851166,0.156848
0.468161,13.1971,-0.868834,2.46514,0.973743,0.20192
0.517117,11.9823,-1.48518,2.40379,1.09306,0.252524
0.56564,10.7782,-2.03738,2.31063,1.20757,0.308359
0.613709,9.58544,-2.52681,2.18729,1.3158,0.36903
0.661279,8.40503,-2.95471,2.03498,1.41634,0.434043
0.708277,7.23883,-3.32232,1.85461,1.50786,0.502792
0.754603,6.08929,-3.63104,1.64701,1.58909,0.574563
0.800143,4.95925,-3.88262,1.41299,1.65888,0.648561
0.844787,3.85147,-4.07929,1.15348,1.71628,0.723943
0.888443,2.76818,-4.22379,0.869554,1.76055,0.799881
0.931054,1.71082,-4.31921,0.562413,1.79117,0.875599
0.972597,0.679966,-4.36887,0.233386,1.8078,0.950403
1,-4.57688e-11,-4.37819,2.52783e-11,1.81103,1
