t,p1,p2,y,x,z
0,29.3088,8.8713,1,0,0
0.01,29.0157,8.57968,1.08725,0.0104387,5.14664e-05
0.0601333,27.5464,7.16186,1.48153,0.0751265,0.00211373
0.11027,26.0769,5.8176,1.8066,0.157837,0.00788571
0.160411,24.6073,4.54693,2.06615,0.255194,0.0181861
0.210551,23.1378,3.34997,2.26384,0.363996,0.0336677
0.260683,21.6685,2.22684,2.40336,0.481221,0.054825
0.310801,20.1996,1.17767,2.48842,0.604024,0.0820025
0.360897,18.7313,0.202539,2.52273,0.729746,0.115403
0.410959,17.2641,-0.698464,2.50997,0.855908,0.155096
0.460977,15.7981,-1.52532,2.45385,0.980222,0.201028
0.510939,14.3338,-2.27804,2.35799,1.10058,0.253029
0.560833,12.8714,-2.95674,2.226,1.21509,0.310826
0.610648,11.4114,-3.56156,2.06141,1.322,0.374052
0.660371,9.95411,-4.09274,1.86768,1.4198,0.442257
0.70999,8.49984,-4.55058,1.64819,1.50713,0.514918
0.759493,7.04898,-4.93543,1.40622,1.58282,0.591448
0.808866,5.60192,-5.24773,1.145,1.64588,0.671206
0.858094,4.15909,-5.48799,0.867652,1.69548,0.753507
0.907162,2.72098,-5.65679,0.577294,1.73098,0.837629
0.956049,1.28815,-5.75479,0.277001,1.7519,0.922823
1,4.17584e-11,-5.78309,-1.54048e-11,1.75801,1
